measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
measure_time,block_height
2024-01-23 09:25:42.003677,643
2024-01-23 09:26:27.003359,646
2024-01-23 09:27:12.003361,649
2024-01-23 09:27:57.007983,652
2024-01-23 09:28:42.007660,655
2024-01-23 09:29:27.008553,658
2024-01-23 09:30:12.005193,661
2024-01-23 09:30:57.007546,664
measure_time,block_height
measure_time,block_height
measure_time,block_height
