block_hash,validationPeriod
0xcfeb82ea46a36f3e8671b61bebf45912bf019473113bed1ef07d61315126f3fc,0 days 00:00:00.000143
0x3f8cb54c478d85d50c1180467afd0dc59fcc61c6ae18d00908fba653bf8f9924,0 days 00:00:00.000153
0x881521afcd615e343f19bfee5711314f7977b384cf016d1c32128036c61dac01,0 days 00:00:00.000170
0xc05481673175d2d131f06aa3b90dba465b4aecf93340055ce005c55040c85fe9,0 days 00:00:00.000151
0x7ecd76c699b9cfe64f01fb8c885162379e27dc013b85e1af1b540d6744f8dded,0 days 00:00:00.000152
0x263f9fa42318c35986dc3910c69aaef34d25b150bc7bd2034c8adde9cb76c5e0,0 days 00:00:00.000025
0xa87cc2183e037a86f9decb5a0627a6ff82b7af72486897e86a8ee56d3a8d1203,0 days 00:00:00.000136
0x847c0bf280596a98fb1e967289c765a689650052dc0d301e0815e7e73fcf9af0,0 days 00:00:00.000151
0x5c73e3df83e0737f73df22971ca0fdb701f3afaaad26d0bd9c7763347dd20316,0 days 00:00:00.000146
0xfe014c7cf5526b5982e018fe07ae98c5879436256dfd56146baeb43d140fb646,0 days 00:00:00.000182
0xeaa3ccbb0ed485930a675335eec7edee7d640da6215178a69756c1a03c3c2a47,0 days 00:00:00.000145
0xe662b9e66bcf5bce8c9cf735575a8b7e7102c651bd339105b7df3d79bd989316,0 days 00:00:00.000144
0x6e7b6573dddb452462cb7e370b4354520fb808b2f868fee36004982e8d637925,0 days 00:00:00.000181
0xb897984fa969c592a3cfec8b942d90fa7bb2118ba793e474863aa20b3de05eaa,0 days 00:00:00.000136
0xfbb0456ef1f807b49f89a1d3397695aed439507a530719ecbb617b5a82c54325,0 days 00:00:00.000139
0x4e3cb3203d0d68230102354ed0dc39e1ce0a5f7869bb7371bd26a302f1b142b3,0 days 00:00:00.000180
0x7aac79318e4c14a81b5a6e7627771dc79344fae0eabbfad872b3eacafbbb7de2,0 days 00:00:00.000029
0xd93179f285ad3283ba9fe3ce826aa4eee3871a6009d069088ff86aa97f72e7cf,0 days 00:00:00.000157
0x5d2d7d4dafc33d85f6abbdfd7dfd59ac82a923aa92f4602905bf9ab4eef82fe8,0 days 00:00:00.000179
0x7617b15ade5ead5db9abe8f91b5469bb83e2b8948e75b8a4384c308e4dea182d,0 days 00:00:00.000144
0x72e2c647e48e303bb1dc9e523c1fd570d81dc3a4422ec0fb335ca4bd1da6010d,0 days 00:00:00.000151
0xe9acb2a50f36d8b50abb13605d68fcf6420e8e2051aade9d0717b93c898c4d7a,0 days 00:00:00.000156
0x6933ddbfd6bc8b5f31bd4ac4e50c23c987e96be3e7cc83f9d45cbbb40b5307ef,0 days 00:00:00.000167
0xfd95a159fb135f4484f59cf2b6ebe5bbd92b784a940f220b3f5c0ffbd4b98c93,0 days 00:00:00.000188
0xbb24f4ec7e17d74770c4028be40d9100ec981737d3c6b80b65fd4660ba802b6d,0 days 00:00:00.000167
0xa4b6069ed7858d288d0e110de50e490efc13af2ebb844d06b2d05f7613bdda05,0 days 00:00:00.000137
